model	metric	fold	MASE	sMAPE	RMSE	pinball_P10	pinball_P50	pinball_P90	coverage_P80	winkler_P80
vol::Theta	units	1	0.7770163963021103	28.09564270330167	169.70116757293295					
vol::SARIMAX+LASSO_exog	units	1	0.7940227524237168	29.224939027237596	175.60220253863565					
vol::LightGBM+price	units	1	1.0262633818873128	36.365571788211675	214.13361346849143					
vol::SeasonalNaive(12)	units	2	1.0219341974077767	34.91614929275394	202.0936251674786					
vol::AutoETS	units	2	0.872727815801492	30.093882674828958	177.55899999825994					
vol::Theta	units	2	0.8617009926837952	30.25603156538712	173.46658838105364					
vol::SARIMAX+LASSO_exog	units	2	0.8047496676613464	29.565770525232843	163.30355838202436					
vol::LightGBM+price	units	2	1.154591772587844	39.20107778159248	218.06266930624423					
vol::SeasonalNaive(12)	units	3	0.642521426596627	20.525079555157173	140.95034586690448					
vol::AutoETS	units	3	0.8813643031014957	29.24222763780584	177.94640344154791					
vol::Theta	units	3	0.6094419235402784	18.80910329539883	127.8562691875402					
vol::SARIMAX+LASSO_exog	units	3	0.9576602954406863	32.09794290473874	193.91977851464983					
vol::LightGBM+price	units	3	0.49714235219370856	15.580545446828964	102.72942976319963					
vol::SeasonalNaive(12)	units	4	0.8765493306891423	22.93127390702501	180.10089764721698					
vol::AutoETS	units	4	1.190577166536577	32.61352978125356	219.0622474778827					
vol::Theta	units	4	1.1750165038305498	31.909480939558698	225.46119369420572					
vol::SARIMAX+LASSO_exog	units	4	1.4579754724515859	41.920681420379175	261.3264181211263					
vol::LightGBM+price	units	4	1.1532311898748344	31.404992178639635	224.50452855119198					
vol::SeasonalNaive(12)	units	5	1.1857042747021724	34.35360039615242	201.80766420860564					
vol::AutoETS	units	5	0.6704071417977219	14.988617940852809	137.74616089433758					
vol::Theta	units	5	1.224585310186935	29.342933514798926	222.01123177645425					
vol::SARIMAX+LASSO_exog	units	5	1.0808958525259804	27.340402800763847	187.348627531709					
vol::LightGBM+price	units	5	1.7682515012119684	46.34948384656437	314.00494220756286					
vol::SeasonalNaive(12)	units	6	1.0512403416022773	33.866339970878364	197.07781880938978					
vol::AutoETS	units	6	0.7028956560787305	18.307059448834714	140.32750819312383					
vol::Theta	units	6	0.565459089393416	13.85925767004433	114.91392498733629					
vol::SARIMAX+LASSO_exog	units	6	0.8575552831461417	19.603821053658287	155.1638037116717					
vol::LightGBM+price	units	6	1.1375706852721252	29.327511956874336	207.4150229463153					
vol::Ensemble[Theta,AutoETS,SeasonalNaive(12)]	units	0	0.3703406590150092	12.639073630452097	75.46083725411494					
vol::Ensemble[Theta,AutoETS,SeasonalNaive(12)]	units	1	0.7453519994314746	26.821660795378456	162.87765776534104					
vol::Ensemble[Theta,AutoETS,SeasonalNaive(12)]	units	2	0.8563635023702572	30.098213290717784	170.96275895846156					
vol::Ensemble[Theta,AutoETS,SeasonalNaive(12)]	units	3	0.6719021808351376	21.136597945160066	140.39440932524644					
vol::Ensemble[Theta,AutoETS,SeasonalNaive(12)]	units	4	1.080053285924722	28.961712479341738	206.36396791177657					
vol::Ensemble[Theta,AutoETS,SeasonalNaive(12)]	units	5	0.9873462596214873	23.623171628465446	172.46630118743812					
vol::Ensemble[Theta,AutoETS,SeasonalNaive(12)]	units	6	0.5856233036960119	14.710144303434644	113.82365963167672					
rev::Direct_AutoETS_ZZA	revenue	0	0.5745925565426167	13.906692394043171	97523.0062432546					
rev::Direct_AutoETS_ZZA	revenue	1	1.3632179222582312	32.18110123755513	175899.45454694825					
rev::Direct_AutoETS_ZZA	revenue	2	1.0413497660004478	27.327426725838382	158097.2808701191					
rev::Direct_AutoETS_ZZA	revenue	3	0.513476826085919	13.77651151403213	83999.72208090375					
rev::Direct_AutoETS_ZZA	revenue	4	0.6526388007274341	14.30816485816677	88286.73923203927					
rev::Direct_AutoETS_ZZA	revenue	5	1.099077556151565	20.999953937451654	153184.99518173598					
rev::Direct_AutoETS_ZZA	revenue	6	0.8742145849799076	16.65595072750076	137844.4192793114					
rev::Reconciled_PriceXVol_MinT	revenue	0	0.5918586530080651	14.524433816309578	100751.43225272498					
rev::Reconciled_PriceXVol_MinT	revenue	1	1.2697316493311426	30.21857090469244	166614.09364364235					
rev::Reconciled_PriceXVol_MinT	revenue	2	1.0024775794982193	26.320914731572515	150365.2949156415					
rev::Reconciled_PriceXVol_MinT	revenue	3	0.49938059088710757	13.161588400935722	87550.21337245758					
rev::Reconciled_PriceXVol_MinT	revenue	4	0.6828601310844254	14.897333354619729	92346.15782189209					
rev::Reconciled_PriceXVol_MinT	revenue	5	1.091147733552083	20.833884233369396	154023.41859717478					
rev::Reconciled_PriceXVol_MinT	revenue	6	0.8370174819115513	15.923601663870986	139391.37823298757					
vol::SeasonalNaive(12)	units	0	0.6854082998661312	26.18057123329543	165.31585929164004					
vol::AutoETS	units	0	0.5850191983865616	18.081199097066715	132.45306885940957					
vol::Theta	units	0	0.22138576162976767	7.546864205541039	52.505563715901154					
vol::SARIMAX+LASSO_exog	units	0	0.6909349426678929	28.17588573268611	185.14645003465787					
vol::LightGBM+price	units	0	0.671719727821252	23.632405219073245	139.89389283472232					
vol::SeasonalNaive(12)	units	1	0.9447619047619048	34.53218736158663	210.04602670208578					
vol::AutoETS	units	1	1.090512324672559	35.53156876862257	209.16661696871495					
vol::Theta	units	1	0.7770163963021103	28.09564270330167	169.70116757293295					
vol::SARIMAX+LASSO_exog	units	1	0.7940227524237168	29.224939027237596	175.60220253863565					
vol::LightGBM+price	units	1	1.0262633818873128	36.365571788211675	214.13361346849143					
vol::SeasonalNaive(12)	units	2	1.0219341974077767	34.91614929275394	202.0936251674786					
vol::AutoETS	units	2	0.872727815801492	30.093882674828958	177.55899999825994					
vol::Theta	units	2	0.8617009926837952	30.25603156538712	173.46658838105364					
vol::SARIMAX+LASSO_exog	units	2	0.8047496676613464	29.565770525232843	163.30355838202436					
vol::LightGBM+price	units	2	1.154591772587844	39.20107778159248	218.06266930624423					
vol::SeasonalNaive(12)	units	3	0.642521426596627	20.525079555157173	140.95034586690448					
vol::AutoETS	units	3	0.8813643031014957	29.24222763780584	177.94640344154791					
vol::Theta	units	3	0.6094419235402784	18.80910329539883	127.8562691875402					
vol::SARIMAX+LASSO_exog	units	3	0.9576602954406863	32.09794290473874	193.91977851464983					
vol::LightGBM+price	units	3	0.49714235219370856	15.580545446828964	102.72942976319963					
vol::SeasonalNaive(12)	units	4	0.8765493306891423	22.93127390702501	180.10089764721698					
vol::AutoETS	units	4	1.190577166536577	32.61352978125356	219.0622474778827					
vol::Theta	units	4	1.1750165038305498	31.909480939558698	225.46119369420572					
vol::SARIMAX+LASSO_exog	units	4	1.4579754724515859	41.920681420379175	261.3264181211263					
vol::LightGBM+price	units	4	1.1532311898748344	31.404992178639635	224.50452855119198					
vol::SeasonalNaive(12)	units	5	1.1857042747021724	34.35360039615242	201.80766420860564					
vol::AutoETS	units	5	0.6704071417977219	14.988617940852809	137.74616089433758					
vol::Theta	units	5	1.224585310186935	29.342933514798926	222.01123177645425					
vol::SARIMAX+LASSO_exog	units	5	1.0808958525259804	27.340402800763847	187.348627531709					
vol::LightGBM+price	units	5	1.7682515012119684	46.34948384656437	314.00494220756286					
vol::SeasonalNaive(12)	units	6	1.0512403416022773	33.866339970878364	197.07781880938978					
vol::AutoETS	units	6	0.7028956560787305	18.307059448834714	140.32750819312383					
vol::Theta	units	6	0.565459089393416	13.85925767004433	114.91392498733629					
vol::SARIMAX+LASSO_exog	units	6	0.8575552831461417	19.603821053658287	155.1638037116717					
vol::LightGBM+price	units	6	1.1375706852721252	29.327511956874336	207.4150229463153					
vol::Ensemble[Theta,AutoETS,SeasonalNaive(12)]	units	0	0.3703406590150092	12.639073630452097	75.46083725411494					
vol::Ensemble[Theta,AutoETS,SeasonalNaive(12)]	units	1	0.7453519994314746	26.821660795378456	162.87765776534104					
vol::Ensemble[Theta,AutoETS,SeasonalNaive(12)]	units	2	0.8563635023702572	30.098213290717784	170.96275895846156					
vol::Ensemble[Theta,AutoETS,SeasonalNaive(12)]	units	3	0.6719021808351376	21.136597945160066	140.39440932524644					
vol::Ensemble[Theta,AutoETS,SeasonalNaive(12)]	units	4	1.080053285924722	28.961712479341738	206.36396791177657					
vol::Ensemble[Theta,AutoETS,SeasonalNaive(12)]	units	5	0.9873462596214873	23.623171628465446	172.46630118743812					
vol::Ensemble[Theta,AutoETS,SeasonalNaive(12)]	units	6	0.5856233036960119	14.710144303434644	113.82365963167672					
rev::Direct_AutoETS_ZZA	revenue	0	0.5745925565426167	13.906692394043171	97523.0062432546					
rev::Direct_AutoETS_ZZA	revenue	1	1.3632179222582312	32.18110123755513	175899.45454694825					
rev::Direct_AutoETS_ZZA	revenue	2	1.0413497660004478	27.327426725838382	158097.2808701191					
rev::Direct_AutoETS_ZZA	revenue	3	0.513476826085919	13.77651151403213	83999.72208090375					
rev::Direct_AutoETS_ZZA	revenue	4	0.6526388007274341	14.30816485816677	88286.73923203927					
rev::Direct_AutoETS_ZZA	revenue	5	1.099077556151565	20.999953937451654	153184.99518173598					
rev::Direct_AutoETS_ZZA	revenue	6	0.8742145849799076	16.65595072750076	137844.4192793114					
rev::Reconciled_PriceXVol_MinT	revenue	0	0.5918586530080651	14.524433816309578	100751.43225272498					
rev::Reconciled_PriceXVol_MinT	revenue	1	1.2697316493311426	30.21857090469244	166614.09364364235					
rev::Reconciled_PriceXVol_MinT	revenue	2	1.0024775794982193	26.320914731572515	150365.2949156415					
rev::Reconciled_PriceXVol_MinT	revenue	3	0.49938059088710757	13.161588400935722	87550.21337245758					
rev::Reconciled_PriceXVol_MinT	revenue	4	0.6828601310844254	14.897333354619729	92346.15782189209					
rev::Reconciled_PriceXVol_MinT	revenue	5	1.091147733552083	20.833884233369396	154023.41859717478					
rev::Reconciled_PriceXVol_MinT	revenue	6	0.8370174819115513	15.923601663870986	139391.37823298757					
